Identifier,Resource_no,Collection_Title
ref987_d26,9665,"Council for Nature, Council for Visual Education,"
ref988_k3n,9666,"Discussion Group on Underdeveloped Areas, Ethical Union, Eton College,"
ref989_h30,9667,"The Eugenics Society,"
ref990_cie,9668,"Family Planning Association, ; <title ns2:type=""simple"" ns2:href="""" render=""doublequote"">International Campaign,</title>Family Planning Association of India,"
ref991_lg9,9669,"Fauna Preservation Society, Fellowship of Religious Humanists, GLC?, Gandhi Gram, Genetical Society, Gesellschaft der Freunde der Biologischen Station Wilhelminenberg, Great Bustard Trust,"
ref992_m31,9670,"H. G. Wells Society, Hampstead Artists Council, Harvard University, Division of Biology, Human Bettrment Association for Voluntary Sterilization, Humanist Broadcast Council, Humanist Council, Huxley Institute for Biosocial Research,"
ref995_auy,9673,"<title ns2:type=""simple"" ns2:href="""" render=""doublequote"">Idea Systems Group</title> invoices, memos, papers, drafts,"
ref996_cc1,9674,"<title ns2:type=""simple"" ns2:href="""" render=""doublequote"">Idea Systems Group</title> memos, papers, drafts,"
ref997_w58,9675,"<title ns2:type=""simple"" ns2:href="""" render=""doublequote"">Idea Systems Group</title> memos, papers, drafts,"
ref998_pkz,9676,"Organizations, <title ns2:type=""simple"" ns2:href="""" render=""doublequote"">Idea Systems Group</title> grant requests materials,"
ref999_ax8,9677,"Institut Francais d'Afrique Nord, Institute of Biology, Institute for Cybercultural Research, Institute on Science and Religion, Institute for the Science of Peace and world Understanding, International Brain Research Organization, International Committee for Bird Preservation, International Congress of Zoology,"
ref1000_nk9,9678,"International Humanist and Ethical Union, International Institute of Differing Civilizations, International Institute of Political and Social Sciences, International Planned Parenthood Federation,"
ref1001_z6r,9679,"International Union for Conservation of Natural Resources,"
ref1003_ayg,9681,"International Union for the Protection of Nature (IUPN), International Wildfowl Research Institute, Isobar, Italian Refugees Relief Committee, Kenya Trustees of the Royal National Parks, Lebanese Association for Information on Palestine, Ligue Internationale de l'Enseignement, de l'Education et de la Culture Populaire,"
ref1004_anl,9682,"Lincombe Lodge Research Library, Linnean Society, Literary Society, London Natural History Society, Marine Biological Association, Movement for Survival, Naples Zoological Station, National Council for British-Soviet Unity, National Trust for Places of Historic Interest of Natural Beauty,"
ref1005_0og,9683,"Nature Conservancy,"
ref1006_ulp,9684,"New Naturalist,"
ref1007_32k,9685,"New York Academy of Sciences, New York Zoological Society, Ngorongoro Conservation Area, Advisory Board, Northern Rhodesia Game Preservation and Hunting Association, Oxfam, Oxford Arts Club, Oxford Ornithological Society,"
ref1008_5r8,9686,"Faculty of Arts, Oxford University Natural Science Club, New College, Psychotherapy Research Unit, Oxford University Humanist Group, Percy Fitzpatrick Institute of African Ornithology, Planned Parenthood Center,"
ref1009_4rj,9687,"Planned Parenthood Federation of America,"
ref1010_ugk,9688,"Political and Economic Planning (PEP),"
ref1011_g7n,9689,"The Population Council Population Limited Foundation,"
ref1012_ob7,9690,"Population Reference Bureau,"
ref1013_r1x,9691,"Population Reference Bureau,"
ref1014_vyw,9692,"Present Question Conference, Prior's Field School,"
ref1015_l8f,9693,"Prior's Field School,"
ref1016_bcb,9694,"Prior's Field School,"
ref1017_u57,9695,"Prior's Field School,"
ref1018_9ko,9696,"Prior's Field School,"
ref1019_4x2,9697,"Religious Society of Families, Religious Society of Friends, Royal Entomological Society, Royal Institute of British Architects,"
ref1020_kub,9698,"The Royal Society,"
ref1021_bth,9699,"The Royal Society,"
ref1022_e9s,9700,"The Royal Society, The Royal Society for the Protection of Birds,"
ref1023_zit,9701,"Savile Club, Sierra Club, Singer Polignac Foundation, Societe Europee de Culture,"
ref1024_wm6,9702,"Society for Cultural Relations Between the Peoples of the British Commonwealth and the Union of Soviet Socialist Republics, Society for Experimental Biology, Society for Visiting Scientists, Standing Committee on National Parks, Student Policy Movement, Systematics Association, Tanganyika National Parks, Uganda National Parks,"
ref1025_4sy,9703,"United Kingdom National Commission for Unesco,"
ref1026_kkc,9704,"United Nations,"
ref1027_r3r,9705,"United Nations' Educational, Scientific, and Cultural Organization (Unesco),"
ref1028_lz0,9706,"Unesco,"
ref1029_fjm,9707,"Unesco,"
ref1030_btx,9708,"Unesco,"
ref1031_ccn,9709,"Unesco,"
ref1032_syo,9710,"Unesco, International Commissionfor a History of the Scientific and Cultural Development of Mamkind,"
ref1033_ygi,9711,"Unesco <title ns2:type=""simple"" ns2:href="""" render=""doublequote"">History,</title> International Commissionfor a History of the Scientific and Cultural Development of Mankind,"
ref1034_pd5,9712,"Unesco, International Commissionfor a History of the Scientific and Cultural Development of Mankind,"
ref1035_tze,9713,"Unesco, International Commissionfor a History of the Scientific and Cultural Development of Mankind,"
ref1043_obd,9721,"University Philosophical Society, Viewers' and Listeners' Association,"
ref1044_bcp,9722,"West African Institute of Industries, Arts and Social Science, West Wales Naturalist Trust, Wildfowl Trust, World Federation for Mental Health, World Health Organization, World Population Emergency Campaign,"
ref1045_yrl,9723,"World Wildlife Fund,"
ref1046_sf5,9724,"World Wildlife Fund,"
ref1047_xap,9725,"World Wildlife Fund, J. Paul Getty Prize, Zoological Club,"
ref1048_d7m,9726,"Zoological Society,"
ref1049_nq4,9727,"Zoological Society,"
ref1143_jyn,9819,"Biographical Materials,"
ref1144_csr,9820,"Biographical Materials,"
ref1145_eey,9821,"Biographical Materials, Reviews,"
ref1146_b11,9822,"Biographical Materials,"
ref1147_q23,9823,"Biographical Materials,"
ref1148_39f,9824,"Biographical Materials, Reviews,"
ref1149_8nr,9825,"Biographical Materials,"
ref1150_1hm,9826,"Biographical Materials, Reviews,"
ref1151_auj,9827,"Biographical Materials,"
ref1152_zr3,9828,"Biographical Materials, Reviews,"
ref1154_txi,9830,"Biographical Materials, Reviews, <emph render=""italic"">From an Antique Land, </emph>reviews of translations,"
ref1156_sdp,9832,"Biographical Materials,"
ref1157_l4u,9833,"Biographical Materials, Reviews,"
ref1159_mu7,9835,"Biographical Materials,"
ref1161_54j,9837,"Biographical Materials, Reviews, <emph render=""italic"">Memories, </emph>reviews of translations,"
ref1163_vjl,9839,"Biographical Materials, Huxley Family Clippings and Reviews,"
ref1164_6a6,9840,"Collected book reviews,"
ref1165_0pb,9841,"Collected reviews,"
ref1166_b3k,9842,"Collected reviews,"
ref1167_f3i,9843,"Collected reviews,"
ref1168_2wl,9844,"Misc. Clippings,"
ref1169_kpe,9845,"Misc. Clippings,"
ref1170_6os,9846,"Misc. Clippings, Scopes Trial,"
ref1171_ns3,9847,"Misc. Clippings, Scopes Trial,"
ref1172_il6,9848,"Misc. Clippings,"
ref1173_nnz,9849,"Misc. Clippings,"
ref1174_v9c,9850,"Misc. Clippings,"
ref1175_lpt,9851,"Misc. Clippings,"
ref1176_ewj,9852,"Misc. Clippings,"
ref1177_gh2,9853,"Misc. Clippings,"
ref1178_b7i,9854,"Misc. Clippings,"
ref1179_6at,9855,"Misc. Clippings,"
ref1180_n9p,9856,"Misc. Clippings,"
ref1181_tbt,9857,"Misc. Clippings,"
ref1182_pn4,9858,"Misc. Clippings,"
ref1183_j7a,9859,"Misc. Clippings,"
ref1184_61e,9860,"Misc. Clippings,"
ref1185_1e9,9861,"Misc. Clippings,"
ref1186_ir9,9862,"Misc. Clippings,"
ref1187_x28,9863,"Misc. Clippings,"
ref1188_8b2,9864,"Misc. Clippings,"
ref1191_vz3,9866,"Eton friends,"
ref1192_3p9,9867,"Eton friends,"
ref1193_la2,9868,"Eton friends,"
ref1194_5e1,9869,"Eton friends,"
ref1199_yg9,9874,"Reinhard Dohrn family,"
ref1200_zce,9875,"German Courtyard,"
ref1201_013,9876,"Country house,"
ref1203_91n,9878,"Castle in the Neckar Valley,"
ref1204_r48,9879,"Geoffrey Smith,"
ref1205_br8,9880,"Jelly d'Aranyi,"
ref1206_lbd,9881,"Boyd Simmons, Houston, Texas,"
ref1207_nol,9882,"Texas plants,"
ref1208_kjw,9883,"Postcards, California,"
ref1211_pm7,9886,"Woods Hole, Mass.,"
ref1214_wz7,9889,"Early photos, Crested Grebe,"
ref1215_6e0,9890,"Party in Hungary,"
ref1216_mke,9891,"G. P. Wells,"
ref1217_bzi,9892,"Tom Longstaff, Spitzbergen,"
ref1218_8ak,9893,"A. C. Hardy,"
ref1220_mgw,9895,"Mae West,"
ref1221_c16,9896,"Isaiah Bowman,"
ref1222_842,9897,"Kapp Unesco Drawings (photos),"
ref1223_2g0,9898,"Pugwash (people),"
ref1224_0sv,9899,"Miscellaneous (including family photos),"
ref1225_oog,9900,"Miscellaneous, America Trip, Family and Friends,"
ref1226_td4,9901,"Tom Longstaff and wife,"
ref1228_o2n,9903,"JSH and Griffith Evans,"
ref1229_bkn,9904,"King Hussein of Jordan,"
ref1233_z74,9908,"Drawings,"
ref1235_shj,9910,"Jack Rosen caricature of JSH,"
ref1236_30i,9911,"JSH at Whipshade,"
ref1237_evw,9912,"JSH and Henry Moore,"
ref1239_0th,9914,"31 Pond Street,"
ref1240_6ez,9915,"Spitzenbergen Expedition negatives,"
ref1241_v8z,9916,"Spitzenbergen Expedition,"
ref1242_0bn,9917,"Spitzenbergen Expedition,"
ref1243_b2h,9918,"Spitzenbergen Expedition,"
ref1244_xzh,9919,"Spitzenbergen Expedition,"
ref1245_m1r,9920,"Spitzenbergen Expedition,"
ref1246_uin,9921,"Spitzenbergen Expedition, <title ns2:type=""simple"" ns2:href="""" render=""doublequote"">Rutmark</title>,"
ref1250_yox,9925,"Darwin Museum, Moscow,"
ref1251_rxl,9926,"Darwin Museum, Moscow, #51-70,"
ref1252_bl3,9927,"Darwin Museum, Moscow,"
ref1253_sxh,9928,"Russia, Intourist Trip,"
ref1254_gsk,9929,"Russian photos, Intourist Trip,"
ref1255_kkn,9930,"Lysenko, Huxley, Ashby; USSR,"
ref1256_2r7,9931,"Moscow Museum,"
ref1257_4p0,9932,"Ireland,"
ref1259_0mb,9934,"Iceland,"
ref1260_e12,9935,"India, scenery,"
ref1263_xzw,9938,"<title ns2:type=""simple"" ns2:href="""" render=""doublequote"">Methodist Overseas Missions</title>, Australia,"
ref1266_1ii,9941,"<title ns2:type=""simple"" ns2:href="""" render=""doublequote"">Methodist Overseas Missions</title>, Australia,"
ref1267_j3t,9942,"Heron Island,"
ref1268_tgy,9943,"Fiji,"
ref1269_a4p,9944,"Postcards from Iran,"
ref1270_sg9,9945,"Australia,"
ref1273_ozz,9948,"Madras,"
ref1274_qlp,9949,"Australia, scenery,"
ref1275_x1z,9950,"Australia, <title ns2:type=""simple"" ns2:href="""" render=""doublequote"">Works of Man</title>,"
ref1277_phj,9952,"Australia, Aborigines,"
ref1278_32z,9953,"Australia,"
ref1279_yvm,9954,"Unesco trip,"
ref1280_nwz,9955,"Thailand,"
ref1281_pj0,9956,"Philippines, scenery and general,"
ref1282_imh,9957,"Mykonos, Christian Stathatos photos,"
ref1283_nmu,9958,"Africa,"
ref1287_rdq,9962,"Miscellaneous travel photos,"
ref1293_w91,9968,"Misc.,"
ref1305_5ka,9980,"Differentiation,"
ref1306_k0u,9981,"Postcards from USA,"
ref1307_x52,9982,"Baby experiment,"
ref1308_4ql,9983,"Christmas card,"
ref1310_abh,9985,"<emph render=""italic"">Life Magazine </emph>article,"
ref1312_u1l,9987,"Plant photo,"
ref1313_9dh,9988,"Exhibition on the Kalinga Prize,"
ref1314_kzv,9989,"Arusha Conference,"
ref1315_df7,9990,"U.S. Science Pavilion, Seattle World's Fair,"
ref1316_ojz,9991,"Galapagos Institute Scientific Project,"
ref1317_d9t,9992,"List of photos,"
ref1318_4n3,9993,"Pictures from Robin Best,"
ref1319_lme,9994,"From Calvin Oakknoll,"
ref1322_qr2,9997,"Ruth Page,"
ref1335_ee8,10009,"Honors certificates,"
ref1339_97u,10013,"Diploma, University of Chicago,"
ref1340_tjh,10014,"Albert Lasker Award,"
ref1342_a0y,10016,"Cartoon,"
ref1344_ts8,10018,"Contract,"
ref1345_ek3,10019,"List of colleagues to whom reprints were sent,"
ref1348_iwr,10022,"Imperial College Exhibition catalogue,"
ref1351_1tr,10025,"Oversized Materials: Unesco material; Clippings, Anatomical drawings; Memorabilia, AAAs; Early materials, travel material,"
ref1450_t48,10123,"Russia,"
ref1451_5fk,10124,"Moscow,"
ref1452_9cp,10125,"Russia,"
ref1453_7on,10126,"Russia,"
ref25_y2u,10143,"Funeral book, with legal documentation on Lynette Autrey’s death and her burial at Glenwood Cemetery,"
ref12_9st,10237,"TILKA member roster,"
ref15_adm,10240,"Newspaper Clipping Re: Houston Music Festival Association, Texas Welfare Commission,"
ref16_wqf,10241,"Masonic Membership,"
ref24_6gy,10249,"Notes-Mathematical,"
ref26_lez,10251,"Princeton Astronomical Expedition,"
ref28_7jy,10253,"Math Problems,"
ref29_fsk,10254,"No-Tsu-Oh Carnival,"
ref30_48h,10255,"Personal and Miscellaneous,"
ref31_tnx,10256,"Letters of Recommendation and Correspondence Re: Minnesota professorship,"
ref33_nas,10258,"Lovett, Dr. E. O., Miscellaneous,"
ref34_9n6,10259,"Newspaper Clippings,"
ref35_a5j,10260,"Rice News Clippings,"
ref36_vuc,10261,"Rice News Clippings,"
ref37_v9q,10262,"Rice News Clippings, folder 2,"
ref39_8av,10264,"Receipts: Miscellaneous,"
ref40_v1v,10265,"Receipts: Clothing,"
ref41_1zh,10266,"Receipts: University Club (in NYC), Rice Faculty Club,"
ref42_j8j,10267,"Receipts: Stationary, Books,"
ref43_dui,10268,"Receipts: Books for Lovett's office,"
ref44_73g,10269,"Receipts: Medical,"
ref45_tsj,10270,"Receipts: Floral,"
ref46_tif,10271,"Bills-Receipts: Houston Country Club,"
ref48_fdv,10273,"Newspaper Clippings Re: Wilson,"
ref49_5h5,10274,"Wilson-Lovett Correspondence,"
ref56_av4,10279,"American Philosophical Society,"
ref57_kmv,10280,"American Philosophical Society,"
ref58_hul,10281,"American Philosophical Society,"
ref59_kxg,10282,"American Philosophical Society,"
ref60_784,10283,"American Philosophical Society,"
ref61_7c3,10284,"American Philosophical Society,"
ref62_lui,10285,"American Philosophical Society,"
ref63_vso,10286,"American Philosophical Society,"
ref64_ljb,10287,"American Philosophical Society,"
ref65_feu,10288,"American Philosophical Society,"
ref66_2n1,10289,"American Philosophical Society,"
ref67_foq,10290,"American Philosophical Society,"
ref68_abj,10291,"American Philosophical Society,"
ref69_gaa,10292,"American Philosophical Society,"
ref70_80o,10293,"American Philosophical Society,"
ref71_pd1,10294,"American Philosophical Society,"
ref72_e27,10295,"Astronomical Societies,"
ref73_32f,10296,"Astronomical Societies,"
ref74_0io,10297,"Astronomical Societies,"
ref75_c6a,10298,"Astronomical Societies,"
ref76_6ai,10299,"Mathematical Societies,"
ref77_t8p,10300,"Mathematical Societies,"
ref78_hav,10301,"Mathematical Societies,"
ref79_i1f,10302,"Mathematical Societies,"
ref80_oof,10303,"Mathematical Societies,"
ref81_uba,10304,"Mathematical Societies,"
ref82_tij,10305,"Mathematical Societies,"
ref83_534,10306,"Philosophical Society of Texas,"
ref84_r3k,10307,"Philosophical Society of Texas,"
ref85_wi6,10308,"Philosophical Society of Texas,"
ref86_f9q,10309,"Philosophical Society of Texas,"
ref87_dz1,10310,"Philosophical Society of Texas,"
ref91_cfx,10312,"Correspondence,"
ref92_0p7,10313,"Correspondence,"
ref93_cs3,10314,"Correspondence Re: Marion Institute w/ J.T. Murfee and H. O. Murfee,"
ref94_6bs,10315,"Correspondence,"
ref95_ykk,10316,"Correspondence,"
ref96_lcb,10317,"Correspondence,"
ref97_dcf,10318,"Correspondence,"
ref98_mqz,10319,"Correspondence,"
ref99_9wl,10320,"Correspondence,"
ref100_23s,10321,"Correspondence,"
ref101_phs,10322,"Correspondence,"
ref102_mjz,10323,"Correspondence,"
ref103_hy5,10324,"Correspondence,"
ref104_hno,10325,"Correspondence,"
ref105_kb1,10326,"Correspondence,"
ref106_okw,10327,"Correspondence,"
ref107_cs7,10328,"Correspondence,"
ref108_tuh,10329,"Correspondence,"
ref109_wjl,10330,"Correspondence,"
ref110_jgy,10331,"Correspondence,"
ref111_tqe,10332,"Correspondence,"
ref112_59a,10333,"Correspondence,"
ref113_znw,10334,"Correspondence,"
ref114_lx7,10335,"Correspondence,"
ref115_tlh,10336,"Correspondence,"
ref116_dgl,10337,"Correspondence Re: Harry Hanszen Testimonial,"
ref117_s2g,10338,"Correspondence,"
ref611_2ig,11208,"Series V: Photographs and Images,"
ref16_3j4,15803,"Series I: David Latimer Tinling-Widdrington journal,"
ref17_rm8,16797,"Collection of newspaper articles reprinting letter by David G. Burnet, annotated by Houston Wade,"
ref19_m2w,16799,"Isaac G. Burnet to Staats G. Burnet, Newark, NJ,"
ref20_wmg,16800,"David G. Burnet to Isaac G. Burnet, Lynchburg, Texas,"
ref21_odb,16801,"David G. Burnet to Isaac G. Burnet, Lynchburg, Texas,"
ref22_jvb,16802,"David G. Burnet to Kitty Burnet (Mrs. Isaac C. Burnet), Lynchburg, Texas,"
ref23_836,16803,"Transcripts of letter from David G.Burnet to Col. James Morgan, Velasco, May 22, 1836 and letter from Chas. R. Williams to Col. James Morgan, Stonington, Conn. 13 July 1835; annnotated by Houston Wade,"
ref24_xx2,16804,"Letter from Isabella N. Burnet to Houston Wade, Re: microfilm,"
ref13_mcg,22246,"Bill of sale of woman and child from William R. Warwick to Joseph Dunbar,"
ref14_e4j,22247,"Deposition by John St. Avis to send slave Isabella back to New Orleans from France,"
ref15_jlr,22248,"Inventory of slaves of Henry J. Thibodaux,"
ref17_cji,22250,"Sale of slave from Mexican Gulf RWC to Alexander Gordon,"
ref18_cnq,22251,"Authorization of Frederic Buissac to buy slave for J.A. Guinard, Jr.,"
ref19_q8l,22252,"Succession of Mrs. Brigitte Bellanger, deceased widow of Henry S. Thibodaux,"
ref20_0i4,22253,"[Copy] Adminstrators sale, L. Banas to H.M. Thibodaux, H.C. Thibodaux, and B. G. Thibodaux,"
ref21_dff,22254,"Bill of sale of slave-boy Dick to R.E. Dawson by Laura and A. Fosster Axson,"
ref22_fka,22255,"Copy of mortgage by Mrs. Thibodaux to firm of [Bellory Noblom],"
ref24_c7n,22257,"B.F. Hayes to J.M. Wells,"
ref25_0y4,22258,"J.M. Wells to B.F. Hayes,"
ref26_4xb,22259,"William F. Reese to Thomas O. Moore,"
ref27_ekf,22260,"James A. Moore to <title ns2:type=""simple"" ns2:href="""" render=""doublequote"">dear cousin Tom</title> [Gov. Moore],"
ref28_miu,22261,"A. Mittenberger to Gov. Thomas O. Moore,"
ref29_bhl,22262,"A. Mittenberger to Gov. Thomas O. Moore,"
ref30_h05,22263,"Receipt of G.M. Long for balance due for brick to wall-in grave of Gen. Walkin,"
ref31_qbm,22264,"W.J. McCullock to Gov. Thomas O. Moore,"
ref32_vlu,22265,"R.W. McMillan to Gov. Thomas Moore re: cotton on Cote Blanche Island,"
ref33_vil,22266,"James M. Searly to Thomas O. Moore,"
ref34_032,22267,"Telegram to Gov. Thomas O. Moore from B. Bragg,"
ref35_3ce,22268,"E.M. Wells to Gov. Thomas O. Moore,"
ref36_hrx,22269,"[copy of] Letter to Mrs. Fowler,"
ref37_lwh,22270,"G.W.R. Bayley to Gov. Thomas O. Moore,"
ref38_2j7,22271,"Resolution from office of the New Orleans, Jackson and Great Northern Railroad Company,"
ref39_8jr,22272,"Expenditures for war purposes,"
ref40_qrj,22273,"Receipt of Benthuysen, Lewis & Co. to Gov. Moore,"
ref41_vot,22274,"B. Bragg to <title ns2:type=""simple"" ns2:href="""" render=""doublequote"">my dear Governor</title> [Moore],"
ref47_vg1,22280,"B. Bragg to Gov. Thomas O. Moore,"
ref48_ci8,22281,"B. Bragg to J.P. Benjamin, Acting Secretary of War,"
ref49_ioa,22282,"B. Bragg to Gov. Thomas O. Moore,"
ref51_5by,22284,"Towson Ellis to Gov. Thomas O. Moore,"
ref52_4kz,22285,"A. Mittenberger to Gov. Thomas O. Moore,"
ref53_2rp,22286,"Return of the Ninth Regiment of Connecticut Volunteers, US Army,"
ref55_thc,22288,"Return of the 12th Regiment of Connecticut Volunteers, Army of the United States,"
ref56_p09,22289,"Receipt from State Treasurer to Gov. Thomas O. Moore,"
ref57_eji,22290,"No. 3820-Office of the Treasurer of the Confederate States of America, receipt of war tax,"
ref58_6nu,22291,"A.G. Hall to James P. Hall,"
ref59_e0o,22292,"Gov. Thomas O. Moore to Pres. Jefferson Davis,"
ref60_qa6,22293,"Col. W.R. Boggs to Thomas O. Moore,"
ref61_z8e,22294,"Alfred G. Hall to Edwin M. Stanton, Secretary of War [copy],"
ref62_9yf,22295,"Receipt from Dr. Gordon,"
ref63_y7x,22296,"Special Order No. 368-Appointment of Courtmartial,"
ref64_brc,22297,"Gov. Thomas O. Moore to Pres. Jefferson Davis,"
ref65_6xi,22298,"Permission to Lieut. Hall by order of N.A.M. Dudley,"
ref67_khs,22300,"Commission of A.G. Hall to Lieut. Colonel,"
ref68_yyt,22301,"Statement of amount used from the military fund,"
ref69_1qk,22302,"Order No. 649-Auditor's Office,"
ref70_oal,22303,"Order No. 650-Auditor's Office,"
ref71_6g3,22304,"Order No. 651-Auditor's Office,"
ref72_k6d,22305,"Order No. 652-Auditor's Office,"
ref73_bnx,22306,"Order No. 653-Auditor's Office,"
ref74_vig,22307,"Order No. 654-Auditor's Office,"
ref75_miz,22308,"Order No. 655-Auditor's Office,"
ref76_4gi,22309,"Order No. 649-Treasury Dept.,"
ref77_hyt,22310,"Order No. 650-Treasury Dept., receipt of Thomas O. Moore,"
ref78_dkt,22311,"Order No. 651-Treasury Dept., receipt of Thomas O. Moore,"
ref79_gnq,22312,"Order No. 652-Treasury Dept., receipt of Thomas O. Moore,"
ref80_d5p,22313,"Order No. 653-Treasury Dept., receipt of Thomas O. Moore,"
ref81_49r,22314,"Order No. 654-Treasury Dept., receipt of Thomas O. Moore,"
ref82_mbk,22315,"Order No. 658-Treasury Dept., receipt of Thomas O. Moore,"
ref83_2ak,22316,"Warrant No. 690 signed by H. [Peralten],"
ref84_2zv,22317,"Warrant No. 691 signed by H. [Peralten],"
ref85_cul,22318,"Statement of H.M. Hyams, Lt. Gov. of Louisiana,"
ref86_fea,22319,"Examination of war expenditures,"
ref87_n17,22320,"Receipt from T.R. Heard to Gov. Thomas Moore,"
ref88_z4g,22321,"Proclamation from Brig. Gen. W.H. Emory re: plunder,"
ref91_n2h,22324,"Receipt for Thomas Moore for beeves,"
ref92_q8u,22325,"Report of committee to examine accounts of Governor and Quarter Master General of the State,"
ref93_zfl,22326,"The Port Hudson Freemen, Vol. 1, No. 1,"
ref94_8hu,22327,"Harlow J. Phelps to Thomas O. Moore,"
ref95_tom,22328,"A.H. Isaacson to Gov. T.O. Moore,"
ref96_00i,22329,"Affidavit of J.C. Younger re: property of Gov. T.O. Moore furnished to Confederate government,"
ref97_azv,22330,"Affidavit of J.C. Younger re: property of Gov. T.O. Moore furnished to the Confederate government,"
ref98_4ql,22331,"Affidavit of J.G. Bledsoe re: property of Gov. T.O. Moore furnished to the Confederate government,"
ref100_ahl,22333,"Receipt of Thomas O. Moore from J.B. Ford for corn,"
ref101_sxs,22334,"Special orders-Leave of absence for Alfred G. Hall,"
ref102_kqc,22335,"Special orders No. 167-Lt. Col. A.G. Hall to replace Maj. M. Morgan,"
ref103_c6f,22336,"Message to the Congress of Louisiana from Gov. Henry W. Allen,"
ref104_57x,22337,"Receipt for potatoes received from T.O. Moore,"
ref105_z8v,22338,"Circular No. 10-War Dept., Provost Marshal General's Office,"
ref106_dai,22339,"Special Orders No. 215-Officers of 74th US Colored Infantry,"
ref108_yrx,22341,"Phelps & Co. to Gov. Thomas O. Moore,"
ref109_chh,22342,"S.A. Walmsley to Thomas O. Moore,"
ref110_ykh,22343,"Special Orders to Peter de laFopse and letter from de laFopse to Thomas O. Moore,"
ref111_gxm,22344,"Alfred G. Hall to Major John Levening,"
ref112_vf7,22345,"W. D. [Causey] to Gov. Thomas O. Moore,"
ref113_u26,22346,"Receipt for taxes from Thomas Moore,"
ref114_94v,22347,"Receipt for taxes paid by Thomas O. Moore,"
ref115_cze,22348,"Receipt for cattle from Thomas O. Moore,"
ref116_wcu,22349,"George S. Sawyer to Gov. Thomas O. Moore,"
ref117_79g,22350,"Orders for corn given by W. Waters,"
ref118_0vt,22351,"Memo to Phelps from Thomas O. Moore,"
ref119_s3n,22352,"Receipt for Gov. Thomas Moore from G. [Levy], Jr.,"
ref120_lk0,22353,"George Sweeney to Gov. Thomas O. Moore,"
ref121_av5,22354,"J.W. Moore to Gov. Thomas O. Moore,"
